Stock A,Stock B,p-value
HINDUNILVR.NS,NESTLEIND.NS,0.22111463277460408
ASHOKLEY.NS,COALINDIA.NS,0.22323686756131517
BANKBARODA.NS,LT.NS,0.22478338468340442
GRASIM.NS,ICICIPRULI.NS,0.22484387052906368
BHEL.NS,POWERGRID.NS,0.22637213588885646
JINDALSTEL.NS,SIEMENS.NS,0.22664521729065135
DABUR.NS,PIDILITIND.NS,0.22849119725116046
BAJAJFINSV.NS,TITAN.NS,0.23131272484429866
LT.NS,NTPC.NS,0.23163588010481007
IDFCFIRSTB.NS,IOC.NS,0.2322215777765702
JINDALSTEL.NS,TATAPOWER.NS,0.2327559337357793
HINDALCO.NS,RELIANCE.NS,0.23339206235968174
SHREECEM.NS,TATASTEEL.NS,0.23467892017526093
HEROMOTOCO.NS,MARUTI.NS,0.23817004478024556
BHARATFORG.NS,BHEL.NS,0.2381902001212048
ADANIENT.NS,ASHOKLEY.NS,0.23942471148038558
BHEL.NS,M&M.NS,0.24015058089459468
ICICIPRULI.NS,LT.NS,0.24127630400019817
TATACONSUM.NS,UBL.NS,0.24167519994298342
LT.NS,TATAPOWER.NS,0.24284168427363956
RELIANCE.NS,SRF.NS,0.24388010054271358
AXISBANK.NS,BPCL.NS,0.24445943067039078
ITC.NS,SBIN.NS,0.24464923098174507
COALINDIA.NS,NTPC.NS,0.24825924128916876
GAIL.NS,NTPC.NS,0.24918374264922843
HDFCBANK.NS,TATACHEM.NS,0.2515016173508477
BAJAJHLDNG.NS,LT.NS,0.25316239191461787
BANKBARODA.NS,BHARATFORG.NS,0.2533476035205776
ASHOKLEY.NS,HEROMOTOCO.NS,0.25395301813846183
PIDILITIND.NS,SRF.NS,0.2543174593980828
AXISBANK.NS,MARUTI.NS,0.2550610626501038
AMBUJACEM.NS,NTPC.NS,0.25642456508509903
CANBK.NS,VEDL.NS,0.25648457149505266
DIVISLAB.NS,DRREDDY.NS,0.2566687447382592
AXISBANK.NS,ICICIPRULI.NS,0.2568247191126458
ADANIENT.NS,AMBUJACEM.NS,0.2586471136731083
ITC.NS,LT.NS,0.25897193463118634
JINDALSTEL.NS,VEDL.NS,0.2593492529649637
BAJFINANCE.NS,TATACHEM.NS,0.26015142107323597
ASHOKLEY.NS,BANKBARODA.NS,0.26302269700830083
BPCL.NS,COALINDIA.NS,0.26432675871952405
ONGC.NS,SBIN.NS,0.26764232191605397
EICHERMOT.NS,ICICIBANK.NS,0.2680301517023784
HEROMOTOCO.NS,SIEMENS.NS,0.2680996708979245
ADANIENT.NS,RELIANCE.NS,0.26914918165408636
ADANIENT.NS,BAJFINANCE.NS,0.26991133711884663
LT.NS,ONGC.NS,0.2704052714297426
RELIANCE.NS,TATACHEM.NS,0.27137870298411987
IDFCFIRSTB.NS,NTPC.NS,0.27161272538356057
BRITANNIA.NS,COLPAL.NS,0.27182945427280136
SBIN.NS,SIEMENS.NS,0.27190697016327714
AXISBANK.NS,IOC.NS,0.27283701348140843
CANBK.NS,TATAPOWER.NS,0.27284156773443646
PIDILITIND.NS,TITAN.NS,0.27485507561488676
IOC.NS,LT.NS,0.2753277794516711
